	clipping	full
265	intro	introduction
266	ism	fascism
267	JLo	Jennifer Lopez
268	jams	pyjamas
269	Jeez	Jesus
270	Jo'burg	Johannesburg
271	jollo	jollification
272	journo	journalist
273	Jpn	Japan
274	jst	just
275	jumbo	jumbo jet
276	juvie	juvenile
277	juvey	juvenile
278	kidvid	kid video
279	klepto	kleptomaniac
280	lab	laboratory
281	lat	latissimus dorsi
282	lax	relaxed
283	lax	relax
284	leccer	lecture
285	lecker	lecture
286	lekker	lecture
287	leet	elite
288	legit	legitimate
289	lesbo	lesbian
290	Lexie	Alexandra
291	lib	liberation
292	limo	limousine
293	Lisa	Elisabeth
294	Liz	Elisabeth
295	Lizzy	Elisabeth
296	litcrit	literary criticism
297	Lizzie	Elizabeth
298	loco	locomotive
299	loid	celluloid
300	Lon	Alonso
301	loony	lunatic
302	looney	lunatic
303	lor	lord
304	Ltd	limited
305	Lum	Columbus
306	lunch	luncheon
307	Lyn	Evelyn
308	ma	mama
309	mac	macaroni
310	Mac	Macintosh
311	mag	maggie
312	maggie	Margaret
313	Mandy	Amanda
314	marvy	marvellous
315	mate	checkmate
316	maths	mathematics
317	matric	matriculation
318	maybs	maybe
319	mayo	mayonnaise
320	Mel	Amelia
321	memo	memorandum
322	mend	amend
323	mensh	mention
324	meth	methamphetamine
325	Mex	Mexican
326	mgr	manager
327	mia	bulimia
328	midcult	middle culture
329	Mike	Michael
330	mike	microphone
331	milko	milkman
332	mimeo	mimeograph
333	misper	missing person
334	miss	mistress
335	mizzy	miserable
336	mob	mobile vulgus
337	mobes	mobile
338	mocs	moccasins
339	mono	mononucleosis
340	Montie	Montgomery
341	movie	moving picture
342	mozzie	mosquito
343	msg	message
344	mum	chrysanthemum
345	mush	mushroom
346	muso	musician
347	Musso	Mussolini
348	Nam	Vietnam
349	nana	banana
350	narc	narcotics
351	Nasho	National Service
352	natch	naturally
353	natural	natural life
354	neath	beneath
355	neg	negative photograph
356	Net	Netty
357	niff	sniff
358	nig	nigger
359	nightie	nightdress
360	nr	near
361	nuff	enough
362	o'er	over
363	offie	offlicence
364	opart	optical art
365	op	operator
366	oped	opinion editorial
367	oppo	opposite number
368	orgman	organization man
369	p	page
370	pants	pantaloons
371	pash	passion
372	Pat	Patricia
373	patsy	Patrick
374	pecs	pectoral muscles
375	peeps	people
376	pen	penitentiary
377	perm	permanent wave
378	perv	perversion
379	phenom	phenomenon
380	Philly	Philadelphia
381	phone	telephone
382	photo	photograph
383	photog	photographer
384	physio	physiotherapist
385	piano	pianoforte
386	pic	picture
387	pix	pictures
388	pike	turnpike
389	plane	airplane
390	pls	please
391	ply	apply
392	poke	pocket
393	pokies	poker
394	pol	politician
395	polio	poliomyelitis
396	polly	pollinaris mineral water
397	pop	popular music
398	porn	pornography
399	possum	opossum
400	postie	postman
401	ppl	people
402	pram	perambulator
403	p'raps	perhaps
404	preemie	premature baby
405	prefab	prefabricated structure
406	preg	pregnant
407	preggers	pregnant
408	preggo	pregnant
409	prenup	prenuptial agreement
410	prep	prepare
411	prepreg	preimpregnated
412	pres	president
413	primaries	primary elections
414	pro	professional
415	pro	prostitute
416	proam	professional amateur
417	probs	problems
418	probs	probably
419	proctor	procurator
420	prof	professor
421	prog	proctor
422	promo	promotion
423	pros	prostitute
424	Prot	Protestant
425	psych	psychology
426	psycho	psychopath
427	pub	public house
428	pulmotor	pulmonary motor
429	quake	earthquake
430	quasar	quasistellar
431	quiz	inquisitive
432	rad	radical
433	Rasta	Rastafarian
434	ref	referee
435	reffo	refugee
436	rego	car registration
437	rehab	rehabilitation
438	rellies	relatives
439	rents	parents
440	rgds	regards
441	rhino	rhinoceros
442	Rick	Richie
443	roach	cockroach
444	Robbie	Roberta
445	robbo	Robinson
446	romcom	romantic comedy
447	Ron	Ronald
448	rugger	rugby
449	Sainters	St Kilda Football Club
450	Sal	Sarah
451	Salvo	Salvationist
452	sammo	sandwich
453	Sandy	Alexander
454	sarge	sergeant
455	sausie	sausage
456	sax	saxophone
457	scifi	science fiction
458	Scouse	lobscouse
459	script	prescription
460	sec	second
461	secko	sex
462	secy	secretary
463	servo	service station
464	shake	milkshake
465	sheen	machine
466	Sherry	Sheridan
467	shoppie	shop assistant
468	showbiz	show business
469	shrink	shrinker
470	siggy	significant other
471	sim	simulation
472	sis	sister
473	sissy	sister
474	sitcom	situation comedy
475	skin	skinhead
476	slomo	slow motion
477	smoko	smoke
478	soccer	association football
479	spagbol	spaghetti bolognese
480	spaz	spastic
481	spec	speculation
482	specs	spectacles
483	spite	despite
484	spk	speak
485	sport	disport
486	spy	espy
487	sry	sorry
488	starkers	stark naked
489	starko	stark naked
490	stereo	stereophonic
491	still	to distill
492	story	history
493	strange	estrange
494	stude	student
495	stupe	stupid
496	sub	submarine
497	sub	substitute
498	Sue	Suzanne
499	sum	summarize
500	sunnies	sunglasses
501	surfie	surfer
502	swimmers	swimming shorts
503	Sydders	Sydney
504	sysop	system operator
505	tab	tabulator
506	tab	tablet
507	tabshow	tabloid show
508	tache	moustache
509	talc	talcum
510	tard	retard
511	tato	potato
512	taxi	taximeter cabriolet
513	tb	tuberculosis
514	teach	teacher
515	tec	detective
516	tech	technology
517	teen	teenager
518	tele	television
519	telly	television
520	tempo	temporary building
521	tend	attend
522	tick	ticket
523	Tilda	Mathilda
524	Tish	Letitia
525	Tom	Thomas
526	Toria	Victoria
527	trad	traditional jazz
528	trank	tranquillizer
529	Trish	Patricia
530	Trix	Beatrice
531	tu	tuition
532	tude	attitude
533	turps	turpentine
534	TV	transvestite
535	tween	between
536	typo	typographical
537	U	university
538	uni	university
539	Uey	Uturn
540	Underground	underground railway
541	undies	underwear
542	vag	vagina
543	vamp	seductive woman
544	van	advantage
545	van	caravan
546	varsity	university
547	vator	elevator
548	Vee	Veronica
549	veg	vegetable
550	veg	vegetarian
